AS0 [ -Reserved AS-, ZZ ]
AS18203 [ FX-KAREN-AGGR-AS-AP FX Networks to KAREN Network, NZ ]
AS18204 [ MINDSHARE-AS-AP MindShare Asia Pacific CHANGE GroupM Asia Pacific, HK ]
AS18205 [ BTTELECOM-AS-AP Bhutan Telecom Ltd, BT ]
AS18206 [ VPIS-AP VADS Managed Business Internet Service Provider, MY ]
AS18207 [ YOU-INDIA-AP YOU Broadband &amp; Cable India Ltd., IN ]
AS18208 [ ABNAMRO-AP CWO Customer Network, AU ]
AS18209 [ BEAMTELE-AS-AP Atria Convergence Technologies pvt ltd, IN ]
AS18210 [ AUSREGISTRY-AS-ANYCAST2 AusRegistry Anycast system, AU ]
AS18211 [ NOMURAINDIA-AS-AP Nomura India Services Pvt Ltd, IN ]
AS18212 [ NIFT-AS-PK National Institutional Facilitation Technologies, PK ]
AS18213 [ ZENTO-AS-AP Optus Customer Network, AU ]
AS18214 [ TELUS-INTERNATIONAL TELUS INTERNATIONAL, PH ]
AS18215 [ PLUSPRO-AP Plus Property, TH ]
AS18216 [ CHINACACHE-AS Beijing Blue I.T. Technologies Co., Ltd., CN ]
AS18217 [ ASNET Academia Sinica, TW ]
AS18218 [ HKSTPC-AS-AP HK Science &amp; Technology Parks Corporation, HK ]
AS18219 [ SAP_SE_SIN SAP ASIA PTE LTD, SG ]
AS18220 [ AUS-DEFENCE-AS-AP Australian Defence Organisation, AU ]
AS18222 [ DATAHUB-AS-AP Data Hub Pvt. Ltd., NP ]
AS18223 [ CAPITALIQ Capital IQ Information Systems (India) Pvt, Ltd., IN ]
AS18224 [ ASN-CRIMSONLOGIC-AP # AS-CRIMSONLOGIC-AP CONVERTED TO ASN-CRIMSONLOGIC-AP FOR RPSL COMPLIANCE Singapore Network Services, SG ]
AS18225 [ SOFTCELL-AP Softcell AS Number, IN ]
AS18226 [ SMARTBRO-VIS-AP Smart Broadband, Inc., PH ]
AS18227 [ CCSBNET-AS-MY-AP Clear-Comm Sdn Bhd, MY ]
AS18228 [ NCSHUB-SG-AP NCS IDC in Singapore, SG ]
AS18229 [ CTRLS-AS-IN CtrlS Datacenters Ltd., IN ]
AS18230 [ ZIPNETBD-DKB-AS-AP Zipnet Limited DKB AS number, BD ]
AS18231 [ CROSSRIMS-AS-AP Crossrims Pty Ltd, AU ]
AS18232 [ ALIAS-AS-AP Alias Internet, AU ]
AS18233 [ PTTNET Philippine Telegraph and Telephone Corporation, PH ]
AS18234 [ AIH-DISC-ONLINE-AS-AP Australian Insurance Holdings, AU ]
AS18235 [ BGPDATA-AS BGP Data Looking Glass, HK ]
AS18236 [ LEI-AU-AP Leading Edge Internet, AU ]
AS18237 [ VISION-ID Visionnet AS Number, ID ]
AS18239 [ CAPNET-AS-AP Beijing Capital Public Information Platform, CN ]
AS18240 [ BITNET Beijing Bitone United Networks Technology Service Co.,Ltd., CN ]
AS18241 [ SPINET State Power Information Net, CN ]
AS18242 [ CDIH Chengdu Information Harbor Co., Ltd, CN ]
AS18243 [ SHANGHAI-EASENET Shanghai EaseNet Network Technology Development Co.,Ltd, CN ]
AS18244 [ STIDC Stateline Internet Data Center Co., Ltd. Shanghai, CN ]
AS18245 [ FOUNDERBN CNNIC, CN ]
AS18247 [ GWBN Great Wall Broadband Network Service Co.Ltd, CN ]
AS18248 [ Services, AU ]
AS18249 [ GLOBEIDC-AS-AP Globe Telecom Internet Data Center, PH ]
AS18250 [ GEEK-AS-AP GEEK NETWORKS PTY LIMITED, AU ]
AS18251 [ IGF2013-ID Internet Governance Forum 2013, ID ]
AS18252 [ CAT-AS-AP The Communication Authoity of Thailand, CAT, TH ]
AS18254 [ KLAY-AS-AP KLAYER LLC, US ]
AS18255 [ BRISBANE-AP Brisbane City Council, AU ]
AS18256 [ BAY-AS-AP Bank of Ayudhya Public Company Limited., TH ]
AS18257 [ BITCOMM-AS ChangZhou Bitcomm Software Technology Co., Limited, CN ]
AS18258 [ MS-JP-AS-AP Morgan Stanley Japan Limited, JP ]
AS18259 [ HIGE NTT Communications Corporation, JP ]
AS18260 [ E-CATV EHIME CATV CO.,LTD., JP ]
AS18261 [ JPNIC-ASBLOCK-AP JPNIC, JP ]
AS18262 [ JPNIC-ASBLOCK-AP JPNIC, JP ]
AS18263 [ MEINET MEITETSUCOM Co., Ltd., JP ]
AS18264 [ SEN Seikei Eizo Network Inc., JP ]
AS18265 [ TWIN ZEXIS CORPORATION, JP ]
AS18266 [ ATNAP Datacore Works Co.,Ltd., JP ]
AS18267 [ DOSHISHA Doshisha University, JP ]
AS18268 [ JANIS Naganoken Kyodou Densan Co.Ltd., JP ]
AS18269 [ KAI Kai Creates Inc., JP ]
AS18270 [ TOIN Toin University of Yokohama, JP ]
AS18271 [ EVONET Sojitz Systems Corporation, JP ]
AS18272 [ BSH-NET Benesse InfoShell Co.,Ltd, JP ]
AS18273 [ JPNIC-ASBLOCK-AP JPNIC, JP ]
AS18274 [ UCATV Utsunomiya Cable TV Corporation, JP ]
AS18275 [ JPNIC-ASBLOCK-AP JPNIC, JP ]
AS18276 [ KAISER Kansai University, JP ]
AS18277 [ KUSA Kurashiki University of Science and the Arts, JP ]
AS18278 [ CC9N Cable TV Corporation, JP ]
AS18279 [ BUKKYO-U Bukkyo University, JP ]
AS18280 [ JPNIC-ASBLOCK-AP JPNIC, JP ]
AS18281 [ TAC-NET Tokoname New-TV Corporation, JP ]
AS18282 [ CORALNET TONAMI Internet Service(TONAMI TransportationCo.,Ltd.), JP ]
AS18283 [ CCV Fureai Channel Inc., JP ]
AS18284 [ ISETANNET Isetan Data Center Co., Ltd., JP ]
AS18285 [ JPNIC-ASBLOCK-AP JPNIC, JP ]
AS18286 [ OCUNET Osaka City University, JP ]
AS18287 [ JPNIC-ASBLOCK-AP JPNIC, JP ]
AS18288 [ JPNIC-ASBLOCK-AP JPNIC, JP ]
AS18289 [ AGNS-JP-IBM AT&amp;T JAPAN KK, JP ]
AS18290 [ IWAMI Mimedia Corporation, JP ]
AS18291 [ VFAU-NET-AS VODAFONE AUSTRALIA PTY LIMITED Public Autonomous System Number, AU ]
AS18292 [ CUSCAL-AS Credit Union Services Corporation Australia Ltd. Sydney, AU ]
AS18293 [ YAHOO-HK2-AP Internet content provider, HK ]
AS18294 [ NFFC-AS-KR SUHYUP BANK, KR ]
AS18295 [ ALLIANZ-AS-KR ABL Life Insurance Co., Ltd., KR ]
AS18296 [ HANSYS-AS-KR Hanbit Microsystems, KR ]
AS18297 [ KJISTNET-AS-KR K-JIST, KR ]
AS18298 [ CNUNET-AS-KR Chungnam National University, KR ]
AS18299 [ BSFN-AS-KR BNK Securities Co.,Ltd, KR ]
AS18300 [ KEPRI-AS-KR KEPCO, KR ]
AS18301 [ DSNET-AS-KR ILINKKOREA, KR ]
AS18302 [ SKG_NW-AS-KR SK Telecom, KR ]
AS18303 [ SMARTRO-AS-KR SMARTRO, KR ]
AS18304 [ KKUNET-AS-KR Konkuk University, KR ]
AS18305 [ POSNET POSCO ICT, KR ]
AS18306 [ MASANHANANET-AS-KR HANANET, KR ]
AS18307 [ SRAIL-AS-KR SR, KR ]
AS18308 [ POONGSAN-AS-KR POONGSAN, KR ]
AS18309 [ KOVAN-AS-KR Korea VAn Service Co.LTD, KR ]
AS18310 [ VITSSEN-AS-KR TBROAD ABC BROADCASTING CO.,LTD., KR ]
AS18311 [ CNCITY-AS-KR CNCITY energy CO.,LTD, KR ]
AS18312 [ KAMCO-AS-KR Korea Asset Management COrporation, KR ]
AS18313 [ PCN-AS-KR LG HelloVision Corp., KR ]
AS18314 [ KEBHANACARDNET-AS-KR HANASK card, KR ]
AS18315 [ SORABOLNET-AS-KR Sorabol College, KR ]
AS18316 [ SHINHANBNP-AS-KR Shinhan BNP Paribas Asset Management Co.,Ltd, KR ]
AS18317 [ SHINHANSYS2-AS-KR SHINHAN DS, KR ]
AS18318 [ SPEEDON-AS-KR LG HelloVision Corp., KR ]
AS18319 [ YJNET-AS-KR YeungNam College of Science Technology, KR ]
AS18320 [ GNUE-AS-KR Kwangju National University of Education, KR ]
AS18321 [ BLUEHOLE-AS-KR KRAFTON INC, KR ]
AS18322 [ KTNET-AS-KR KUMHO TIRE, KR ]
AS18323 [ SNUBH-AS-KR Seoul National University Bundang Hospital, KR ]
AS18324 [ MASANC-AS-KR Masan College, KR ]
AS18325 [ KORCHRISTUNIV160-AS-KR Korea Christian University, KR ]
AS18326 [ SPORTSTOTOKOREA-AS-KR Sports Toto Korea, KR ]
AS18327 [ SERIICENTER-AS-KR Seoul Education Research Information Institute, KR ]
AS18328 [ DOTNAME-AS-KR Dotname Korea Corp, KR ]
AS18329 [ SMUC-AS-KR Sangmyung University, KR ]
AS18330 [ HONGIK-AS-KR HONGIK UNIVERSITY, KR ]
AS18331 [ HCC-AS-KR Daejeon Institute of Science and Technology, KR ]
AS18332 [ POSTOPIA-AS-KR postopia, KR ]
AS18333 [ ATNET-AS-KR at(Korea Argo-Fisheries Food Trade Corporation), KR ]
AS18334 [ GCNCATV-AS-KR Gyounggidongbu cable tv co., Ltd., KR ]
AS18335 [ SWU-NET-AS-KR Seoul Women University, KR ]
AS18336 [ SJAJEJU-AS-KR St. Johnsbury Academy jeju, KR ]
AS18337 [ KSUCC-AS-KR KyungSan University, KR ]
AS18338 [ STARVAN-AS-KR STARVANKOREA, KR ]
AS18339 [ DAEWONJINCHEON-AS-KR daewonpharm, KR ]
AS18340 [ SBKOREA-AS-KR SBKorea, KR ]
AS18341 [ GUMI-AS-KR Gumi College, KR ]
AS18342 [ KJTJC-AS-KR KunJang College, KR ]
AS18343 [ TAEGUTECH-AS-KR Daegu Technical College, KR ]
AS18344 [ CNCGROUP-BACKBONE-NORTH USED IN NORTH CHINANET BACKBONE, CN ]
AS18345 [ HOSTWAY-AU Hostway Corporation Pty Ltd, AU ]
AS18346 [ GROUNDHOG-AS-AP Groundhog Software Pty Ltd, AU ]
AS18347 [ IPNET-ID Indo Pratama CyberNet, PT., ID ]
AS18348 [ DPS-AS-AP DIRECT PAYMENT SOLUTIONS, NZ ]
AS18349 [ FUJIXEROXAUSTRALIA Fuji Xerox Australia, AU ]
AS18350 [ PROMINA-AS-AP Suncorp, AU ]
AS18351 [ MEDIAAKSES-AS PT Media Akses Global Indo, Internet Provider Jakarta, ID ]
AS18352 [ ISERVE-NZ-AS-AP Border AS, NZ ]
AS18353 [ HDSVDCNZ-AS-AP Revera NZ Limited, NZ ]
AS18354 [ TECHPART-ADELAIDE-AS-AP Technology Partners in Adelaide, AU ]
AS18355 [ DONGSUH-AS-ID-AP PT. Dongsuh Securities, ID ]
AS18356 [ AWARE-AS-AP Aware Corporation Autonomous System, TH ]
AS18357 [ SUTHERLAND-AS-AP Sutherland Corporation, AU ]
AS18358 [ UE-AU-AP Alinta, AU ]
AS18359 [ PGTL-AS-AP Pak-Qatar General Takaful Limited, PK ]
AS18360 [ UST-AS-AP Santo Tomas E-Service Providers, PH ]
AS18361 [ AUSTOCKEXCHANGE-AU AUSTRALIAN STOCK EXCHANGE LIMITED, AU ]
AS18362 [ NETWAY-AS-AP Netway Communication Co.,Ltd., TH ]
AS18363 [ HUDSON AS HUDSON GLOBAL RESOURCES SYDNEY, AU ]
AS18364 [ QUASAR-ID PT Quasar Jaringan Mandiri, ID ]
AS18365 [ GRAMEDIA-ID GRAMEDIA, PT., ID ]
AS18366 [ APNIC-ANYCAST-AP ANYCAST AS, AU ]
AS18367 [ APNIC-UNI1-AP UNICAST AS of ANYCAST node(Hongkong), AU ]
AS18368 [ APNIC-SERVICES APNIC DNS Anycast, AU ]
AS18369 [ APNIC-ANYCAST2 APNIC ANYCAST, AU ]
AS18370 [ APNIC-UNI4-AP UNICAST AS of ANYCAST node(Other location), AU ]
AS18371 [ NCABLE-AP Neighbourhood Cable, AU ]
AS18372 [ PAGE-NET-EXPR-AS-AP Page Net Express, AU ]
AS18373 [ KOOKMINBANK-AS-KR KOOKMIN BANK, KR ]
AS18374 [ DEMAND-TRANSIT-AS-AP Demand Broadband, AU ]
AS18375 [ DEUTSCHE-AS Deutsche Bank Australia AS, AU ]
AS18376 [ AMNET-AU-AP Amnet IT Services Pty Ltd, AU ]
AS18377 [ CDV-SG-AP Clear Datavoice Service Provider, SG ]
AS18378 [ NIWA-AS-AP National Institute of Water and Atmospheric Research Ltd, NZ ]
AS18379 [ CSMNAP-AS-AP CSMNAP-ASN, ID ]
AS18380 [ SEALCORP-HOLDINGS-LTD-AP Sealcorp Holdings Ltd, AU ]
AS18381 [ RSL-AS-AP RedSwitches, AU ]
AS18382 [ WATSONWYATTHK-NON-HK-AP Watson Wyatt HK Ltd, HK ]
AS18383 [ CAHI-AS-JP CAHI Corporation, JP ]
AS18384 [ FUZENET-AU-AP FUZENET PTY LTD, AU ]
AS18385 [ KDDI-AS-AP KDDI Australia Pty. Ltd., AU ]
AS18386 [ SEAGATE-KSC-AS-AP Seagate Technology, TH ]
AS18387 [ CHINANET-GANSU-LANZHOU-MAN CHINANET Gansu province network, CN ]
AS18388 [ ISEEK-GOWIRELESS iseek Communications Pty Ltd, AU ]
AS18389 [ ASIA-SOLUTIONS-AS-AP Asia Solutions AS (ETPI Client), PH ]
AS18390 [ SPIN-INTERNET-AP Spin Internet Service, AU ]
AS18391 [ NETPLUZ-AS-AP NETPLUZ HOLDINGS PRIVATE LIMITED, TW ]
AS18392 [ GLOBE-TELECOM-IX Globe Telecom IX Network, PH ]
AS18393 [ JAVA-AS-AP Java Online, PT., ID ]
AS18394 [ UPI-AS-ID Universitas Pendidikan Indonesia, ID ]
AS18395 [ INFOCOMNP-AS-AP Infocom Pvt. Ltd, NP ]
AS18396 [ PHILCOMCORP-MND-AS-AP PLDT-PhilCom Inc., PH ]
AS18397 [ POPORTS-SYDNEY-AS P&amp;O Ports Sydney link, AU ]
AS18398 [ TPG-AU TPG Internet Pty Ltd., AU ]
AS18399 [ YTCL-AS-AP Yatanarpon Teleport Company Limited, MM ]
AS18400 [ XTREME-AS-AP Xtreme Networks Limited, NZ ]
AS18401 [ AS18401-AS-KR DAEGU UNIVERSITY, KR ]
AS18402 [ NLB-AS-SG-AP NATIONAL LIBRARY BOARD, SG ]
AS18403 [ FPT-AS-AP The Corporation for Financing &amp; Promoting Technology, VN ]
AS18405 [ SNOWREGAL-AS-AP Snowregal Holdings TA Digital Data Solutions Perth Peering AS, AU ]
AS18406 [ FX-EDGE-AS FX Networks Limited, NZ ]
AS18407 [ CLICKINT-AS-AP Click Internet Limited, NZ ]
AS18408 [ MITSUBISHIFA-CSLOXINFO-TH CSLOXINFO, TH ]
AS18409 [ BOT-TH-AS Bank of Thailand, Bangkok, Thailand, TH ]
AS18410 [ TW-104IT-AS 104 Information Technology Co., Ltd., TW ]
AS18411 [ EDTNS-AS-TW EDT Network Services Limited Co,Ltd., TW ]
AS18412 [ FEG-MPLS Far EastTone Telecommunication Co., Ltd., TW ]
AS18413 [ GBTC-TW Great Taipei Broadband Company Ltd., TW ]
AS18414 [ TWAREN-AS-TW National Center for High-performance Computing, TW ]
AS18415 [ BWIZ B-WIZ Technology, TW ]
AS18416 [ CHIAOCHIAO-NET CHIAOCHIAO Corporation, TW ]
AS18417 [ TWNIC-AS Taiwan Network Information Center, TW ]
AS18418 [ IPV6PO Taiwan IPv6 Development Program., TW ]
AS18419 [ DADA-AS-TW DaDa Broadband LTD., TW ]
AS18420 [ NCU-TW National Central University, TW ]
AS18421 [ TAISHINBANK-AS-T Taishin International Bank, TW ]
AS18422 [ ITRINET-AS-TW Industrial Technology Research Institute, TW ]
AS18423 [ RAID-AS-TW RAID Networks Co., Ltd., TW ]
AS18424 [ ASN-CM-CRAFT-AESTHETIC-GLOBAL CM Craft Aesthetic, TW ]
AS18425 [ NTTTW-AS-TW NTT Taiwan Ltd., TW ]
AS18426 [ STPI-AS-TW National Applied Research Laboratories, TW ]
AS18427 [ PCHOME-AS-TW PChome Online, TW ]
AS18428 [ CUNET-AS-TW China United Telecom Corp, TW ]
AS18429 [ EXTRALAN-TW Extra-Lan Technologies Co., LTD, TW ]
AS18430 [ BLUE-TONGUE-ENTERTAINMENT-AP Optus Customer Network, AU ]
AS18431 [ DFAT-PUBLIC-GW-AS Department of Foreign Affairs and Trade, AU ]
AS18432 [ TORONTO-COLO, US ]
AS18433 [ ONESKY-FLIGHT-LLC, US ]
AS18434 [ FNIS, US ]
AS18435 [ THEJUNCTION, US ]
AS18436 [ MSPD-ASN, US ]
AS18437 [ PITT-OHIO-EXPRESS-AS, US ]
AS18438 [ BROWNB, US ]
AS18439 [ NNVHS, US ]
AS18440 [ NCCI, US ]
AS18441 [ IP-NETWORKED-SERVICES, US ]
AS18442 [ YOUSENDIT1, CA ]
AS18443 [ APSC, US ]
AS18444 [ SMART-CITY-LBCC, US ]
AS18445 [ POLYONE-CORPORATION, US ]
AS18446 [ CLICK-44-18446, CA ]
AS18447 [ AFFINITY-INTER, US ]
AS18448 [ GIANTEAGLE, US ]
AS18449 [ MVS Net, S.A. de C.V., MX ]
AS18450 [ WEBNX, US ]
AS18451 [ LESNET, CA ]
AS18452 [ ALORICA, US ]
AS18453 [ WELLBORN-CABINET, US ]
AS18454 [ AUGSBURG, US ]
AS18455 [ Netdata S.R.L., AR ]
AS18456 [ GDIT-AS1, US ]
AS18457 [ AS18457, US ]
AS18458 [ NYBG, US ]
AS18459 [ UAIC-INTERNET, US ]
AS18460 [ FHSU, US ]
AS18461 [ BELL-ATL, US ]
AS18462 [ TILTED, US ]
AS18463 [ RMHP, US ]
AS18464 [ CHAM-ASN, US ]
AS18465 [ WORKDAY-01, US ]
AS18466 [ Geminicommunications Limited, BZ ]
AS18467 [ AXIOM-TECH, US ]
AS18468 [ POORMAN-DOUGLAS, US ]
AS18469 [ PLT, US ]
AS18470 [ ZFOPRODASN, US ]
AS18471 [ SI-ASN, US ]
AS18472 [ CANADIANMUSUEMFORHUMANRIGHTS, CA ]
AS18473 [ NBGISP-ARIN, US ]
AS18474 [ AENEAS-CW, US ]
AS18475 [ ROGERSWIRELESSINC, CA ]
AS18476 [ PRISON-FELLOWSHIP-MINISTRIES, US ]
AS18477 [ G2-SATELLITE-SOLUTIONS-CORPORATION, US ]
AS18478 [ NATAL-MED, US ]
AS18479 [ Universo Online S.A., BR ]
AS18480 [ GDT-AS, US ]
AS18481 [ BSWLHRICAS, US ]
AS18482 [ CORASN01, US ]
AS18483 [ TIMES-WORLD-AS, US ]
AS18484 [ VTLA, US ]
AS18485 [ VTLA, US ]
AS18486 [ VTLA, US ]
AS18487 [ VTLA, US ]
AS18488 [ VTLA, US ]
AS18489 [ VTLA, US ]
AS18490 [ VTLA, US ]
AS18491 [ VTLA, US ]
AS18492 [ Almacenes Paris Comercial S.A, CL ]
AS18493 [ -Reserved AS-, ZZ ]
AS18494 [ CENTURYLINK-LEGACY-EMBARQ-WRBG, US ]
AS18495 [ NOVANT-AS1, US ]
AS18496 [ GlobalNet SA, AR ]
AS18497 [ UTSI-AS, US ]
AS18498 [ NETWORKX-FLA-1, US ]
AS18499 [ CYBER-GENERATION, CA ]
AS18500 [ PACCAR, US ]
AS18501 [ CODERO-DFW, US ]
AS18502 [ TELEVERGENCE-NYC1, US ]
AS18503 [ LOGICSOUTH, US ]
AS18504 [ FLASHSEATS-APOD-ASN1001, US ]
AS18505 [ SIR-TECH-JA, JM ]
AS18506 [ IFT-10, US ]
AS18507 [ NYMEX-EXTRANET, US ]
AS18508 [ YUME-VA, US ]
AS18509 [ FISERV-INC, US ]
AS18510 [ TRAFELET-AND-COMPANY, US ]
AS18511 [ NCLUD, US ]
AS18512 [ -Reserved AS-, ZZ ]
AS18513 [ AKORN, US ]
AS18514 [ MDCH-CRP-ASN, US ]
AS18515 [ UTARLINGTON, US ]
AS18516 [ MOLALLACOM, US ]
AS18517 [ LIMRAI, US ]
AS18518 [ ARES-MGMT, US ]
AS18519 [ MEDIAPOLIS-TELEPHONE-COMPANY, US ]
AS18520 [ CADC-LG, US ]
AS18521 [ AMERICAN-CAMPUS-COMMUNITIES, US ]
AS18522 [ YUMBRANDS, US ]
AS18523 [ CHEP-AS1, US ]
AS18524 [ SAM-MEMPHIS, US ]
AS18525 [ HLJ-AS-001, US ]
AS18526 [ DDPS, US ]
AS18527 [ HAGC-ASN, US ]
AS18528 [ LEAFCOM, US ]
AS18529 [ PLEXUSSYSTEMS, US ]
AS18530 [ ISOMEDIA-1, US ]
AS18531 [ WIFI-MIDWEST-INC, US ]
AS18532 [ Secretaria de Hacienda y Credito Publico, MX ]
AS18533 [ AAAWA-3605, US ]
AS18534 [ FIBER-, CA ]
AS18535 [ ROCHE-INDY, US ]
AS18536 [ ESERVER-SPACE, US ]
AS18537 [ PPD-AUSTIN, US ]
AS18538 [ WCPSS-BOE, US ]
AS18539 [ DAYTON-SUPERIOR-MIAMISBURG, US ]
AS18540 [ RECOVERYPOINTSYSTEMS, US ]
AS18541 [ BJN2, US ]
AS18542 [ BRAILLEAS, US ]
AS18543 [ ION-NEWYORKCITY-NYC, US ]
AS18544 [ NKTR-AS01, US ]
AS18545 [ OSMNET, US ]
AS18546 [ ACN-NADC, US ]
AS18547 [ PICTURE INFORMATICA EIRELI, BR ]
AS18548 [ -Reserved AS-, ZZ ]
AS18549 [ -Reserved AS-, ZZ ]
AS18550 [ FARCAP-AS, US ]
AS18551 [ ROTHINC, US ]
AS18552 [ SPI-BGP-BDR, US ]
AS18553 [ UWF-ASN, US ]
AS18554 [ AWARD-AS, US ]
AS18555 [ THE-ART-INST, US ]
AS18556 [ SCIF, US ]
AS18557 [ HAWKCOMM, US ]
AS18558 [ NETBLK-RCOEK, US ]
AS18559 [ RULEZ, US ]
AS18560 [ LSCO1, US ]
AS18561 [ EPAM, US ]
AS18562 [ HAWTHORNE, US ]
AS18563 [ CGINET-01, CA ]
AS18564 [ SJU149068, US ]
AS18565 [ VINS-AS-3, US ]
AS18566 [ MEGAPATH5-, US ]
AS18567 [ CUTX12-ASN, US ]
AS18568 [ BIDTELLECT, US ]
AS18569 [ COMSPECO-NET-1, US ]
AS18570 [ ECHOSTAR-BROADCASTING-CORPORATION, US ]
AS18571 [ WESTERNRESERVEGROUP, US ]
AS18572 [ BVIU27, US ]
AS18573 [ WCOM-TSENGR-AS, US ]
AS18574 [ SILVACO, US ]
AS18575 [ IPHOUSE, US ]
AS18576 [ Educ.ar, AR ]
AS18577 [ MIC-64, US ]
AS18578 [ SCHLUTER-SYSTEMS-LP, US ]
AS18579 [ Dalinco, UY ]
AS18580 [ -Reserved AS-, ZZ ]
AS18581 [ ALLIANZLIFE, US ]
AS18582 [ CONSUMERINFO, US ]
AS18583 [ HATTERASCPC, US ]
AS18584 [ ANKURA-ASN, US ]
AS18585 [ COMMERCEHUB, US ]
AS18586 [ DIVINEHOST, US ]
AS18587 [ AGUTL, CA ]
AS18588 [ POSTM, CA ]
AS18589 [ OZCAP-NYC, US ]
AS18590 [ CHINETWORKS, US ]
AS18591 [ NYFH, US ]
AS18592 [ Corporacion Universitaria para el Desarrollo de Internet, A.C., MX ]
AS18593 [ GSHULLGR, US ]
AS18594 [ FTPS-LLC, US ]
AS18595 [ FPC-ASN, US ]
AS18596 [ MADISONTELCO, US ]
AS18597 [ RVBD, US ]
AS18598 [ CEQUINT-INC, US ]
AS18599 [ SMARTCLOUD1, US ]
AS18600 [ WPIA-NET, US ]
AS18601 [ SMART-CITY-CBCC, US ]
AS18602 [ PWRWG, US ]
AS18603 [ ANS1, US ]
AS18604 [ HPS, US ]
AS18605 [ SOUTHPOLE, US ]
AS18606 [ WHERETOLIVE, US ]
AS18607 [ HIGHWINDS4, US ]
AS18608 [ PALADYNE-SYSTEMS-INC, US ]
AS18609 [ NETAPP-ANYCAST, US ]
AS18610 [ SEQUO-AS, US ]
AS18611 [ ATRION, US ]
AS18612 [ TRI-NET-SOLUTIONS, US ]
AS18613 [ LIVEVOX, US ]
AS18614 [ YAKNET, US ]
AS18615 [ MAINSTREAM-FIBER, US ]
AS18616 [ NATURALWIRELESS, US ]
AS18617 [ TICKETMASTER-AWS-VIRGINIA, US ]
AS18618 [ WCENTRALN, US ]
AS18619 [ SOTEL-SYSTEMS, US ]
AS18620 [ SUPREME-TECHNOLOGIES, US ]
AS18621 [ CONESTOGA-COL, CA ]
AS18622 [ IVANET-YTO, US ]
AS18623 [ TWC-18623-NA, US ]
AS18624 [ CITYOFWILSONNC, US ]
AS18625 [ DIO-6464, US ]
AS18626 [ NET-IDEO, US ]
AS18627 [ CBE-2, CA ]
AS18628 [ NYMEX, US ]
AS18629 [ LTF-001, US ]
AS18630 [ RIDLEYSD-NET, US ]
AS18631 [ CBT-ASN1, US ]
AS18632 [ VOLCANO-VISION, US ]
AS18633 [ HPICORP, US ]
AS18634 [ FUSIX-AS1, CA ]
AS18635 [ SECUREHOST, BS ]
AS18636 [ SHOREASN, US ]
AS18637 [ VDS, CA ]
AS18638 [ DHDC-, CA ]
AS18639 [ ABTASSOCIATES-AS, US ]
AS18640 [ IDEALAB, US ]
AS18641 [ DATACONSULTANTSCORP, US ]
AS18642 [ SAGENET-ENT2, US ]
AS18643 [ SMART-CITY-TACC, US ]
AS18644 [ UOL DIVEO S.A., BR ]
AS18645 [ UMHB-BELTON, US ]
AS18646 [ BITMAX, US ]
AS18647 [ ACCEL-AS, US ]
AS18648 [ HTRI, US ]
AS18649 [ ST-DAL, US ]
AS18650 [ KORAX, CA ]
AS18651 [ EMANUEL-MEDICAL-CENTER, US ]
AS18652 [ TOTALITY-2, US ]
AS18653 [ TOTALITY-2, US ]
AS18654 [ TOTALITY-2, US ]
AS18655 [ OGIX-01, CA ]
AS18656 [ TELESIGN01, US ]
AS18657 [ MEETUP, US ]
AS18658 [ ECHD-AS1, US ]
AS18659 [ FTPS-LLC, US ]
AS18660 [ KSUONLINE-I2, US ]
AS18661 [ DCA-BGP, US ]
AS18662 [ AFLAC, US ]
AS18663 [ UOP-AS, US ]
AS18664 [ VELOCITY-BNA, US ]
AS18665 [ VURGE, CA ]
AS18666 [ NOKIA-ASN, US ]
AS18667 [ Web2mil S.A, UY ]
AS18668 [ DESCHUTES-COUNTY-911, US ]
AS18669 [ BSEC-CA-1, US ]
AS18670 [ ARROWSTREET, US ]
AS18671 [ PRTC-SC, US ]
AS18672 [ EVOCATIVE1, US ]
AS18673 [ CFP-ASN, US ]
AS18674 [ FROST-BANK, US ]
AS18675 [ VS-BYNCTR, US ]
AS18676 [ AVAYA, US ]
AS18677 [ COLUMBUS-NETWORKS, US ]
AS18678 [ INTERNEXA S.A. E.S.P, CO ]
AS18679 [ NIRVANIX-ASN1, US ]
AS18680 [ AKAMAI-AS, US ]
AS18681 [ CONSTELLATION-ENERGY, US ]
AS18682 [ AAMU-INTERNET, US ]
AS18683 [ MWFN, US ]
AS18684 [ WCM-ASN, US ]
AS18685 [ BIR-2-ASN, US ]
AS18686 [ INCO-AS-1, CA ]
AS18687 [ MPOWER-2, US ]
AS18688 [ IPG, CA ]
AS18689 [ GWYNN-GROUP-INC, US ]
AS18690 [ MEDIDATA, US ]
AS18691 [ -Reserved AS-, ZZ ]
AS18692 [ NEUBERGER, US ]
AS18693 [ UCH-CENTRAL, US ]
AS18694 [ SDWARREN, US ]
AS18695 [ WCA, US ]
AS18696 [ NTM-USHQ, US ]
AS18697 [ AS18697, US ]
AS18698 [ IAC-NYC-AS01, US ]
AS18699 [ JAGUAR-2, US ]
AS18700 [ TIWI-CA-NET, US ]
AS18701 [ PPCO-, US ]
AS18702 [ PAYROLLLINK-AS, US ]
AS18703 [ IBMCCH-ASH, US ]
AS18704 [ T-SYSTEMS-NA, US ]
AS18705 [ RIMBLACKBERRY, CA ]
AS18706 [ LISTEN-SF-3, US ]
AS18707 [ INTELEMEDIA, US ]
